time,Tmp Husillo,Tmp Nozzle,Diametro X,Diametro Y,MARCHA,PARO,PWM
1970-1-1-0:42:13,31.7,31.3,1.608313,1.632352,TRUE,TRUE,0.0
1970-1-1-0:42:14,31.7,31.3,1.677133,1.70131,TRUE,TRUE,0.0
1970-1-1-0:42:14,31.7,31.3,1.723012,1.724296,TRUE,TRUE,0.0
1970-1-1-0:42:14,31.7,31.3,1.757422,1.747282,TRUE,TRUE,0.0
1970-1-1-0:42:15,31.7,31.3,1.757422,1.735789,TRUE,TRUE,0.0
1970-1-1-0:42:15,31.7,31.3,1.791832,1.747282,TRUE,TRUE,0.0
1970-1-1-0:42:16,31.7,31.3,1.791832,1.770268,TRUE,TRUE,0.0
1970-1-1-0:42:16,31.7,31.3,1.803301,1.816241,TRUE,TRUE,0.0
1970-1-1-0:42:16,31.7,31.3,1.826241,1.816241,TRUE,TRUE,0.0
1970-1-1-0:42:17,31.7,31.3,1.860651,1.712803,TRUE,TRUE,0.0
1970-1-1-0:42:17,31.7,31.3,1.803301,1.724296,TRUE,TRUE,0.0
1970-1-1-0:42:17,31.7,31.3,1.688603,1.747282,TRUE,TRUE,0.0
1970-1-1-0:42:18,31.7,31.3,1.700073,1.747282,TRUE,TRUE,0.0
1970-1-1-0:42:18,31.7,31.3,1.723012,1.758775,TRUE,TRUE,0.0
1970-1-1-0:42:19,31.7,31.3,1.723012,1.758775,TRUE,TRUE,0.0
1970-1-1-0:42:19,31.7,31.3,1.734482,1.712803,TRUE,TRUE,0.0
1970-1-1-0:42:19,31.7,31.3,1.734482,1.689817,TRUE,TRUE,0.0
1970-1-1-0:42:20,31.7,31.3,1.711542,1.655338,TRUE,TRUE,0.0
1970-1-1-0:42:20,31.7,31.3,1.665663,1.70131,TRUE,TRUE,0.0
1970-1-1-0:42:20,31.7,31.3,1.700073,1.712803,TRUE,TRUE,0.0
1970-1-1-0:42:21,31.7,31.3,1.700073,1.70131,TRUE,TRUE,0.0
1970-1-1-0:42:21,31.7,31.3,1.723012,1.758775,TRUE,TRUE,0.0
1970-1-1-0:42:22,31.7,31.3,1.711542,1.85072,TRUE,TRUE,0.0
1970-1-1-0:42:22,31.7,31.3,1.734482,1.816241,TRUE,TRUE,0.0
1970-1-1-0:42:22,31.7,31.3,1.734482,1.839227,TRUE,TRUE,0.0
1970-1-1-0:42:23,31.7,31.3,1.745952,1.942664,TRUE,TRUE,0.0
1970-1-1-0:42:23,31.7,31.3,1.734482,1.931171,TRUE,TRUE,0.0
1970-1-1-0:42:23,31.6,31.3,1.780362,1.873706,TRUE,TRUE,0.0
1970-1-1-0:42:24,31.6,31.3,1.826241,1.839227,TRUE,TRUE,0.0
1970-1-1-0:42:24,31.7,31.3,1.803301,1.804748,TRUE,TRUE,0.0
1970-1-1-0:42:24,31.7,31.3,1.780362,1.747282,TRUE,TRUE,0.0
1970-1-1-0:42:25,31.7,31.3,1.734482,1.758775,TRUE,TRUE,0.0
