time,Tmp Husillo,Tmp Nozzle,Diametro X,Diametro Y
2015-8-27 11:58:54,63.4,151.9,1.367446,1.368012
2015-8-27 11:58:55,63.4,151.8,1.367446,1.356519
2015-8-27 11:58:57,63.3,151.7,1.355976,1.390998
2015-8-27 11:58:59,63.3,151.7,1.344506,1.379506
2015-8-27 11:59:0,63.3,151.7,1.367446,1.356519
2015-8-27 11:59:2,63.3,151.6,1.367446,1.356519
2015-8-27 11:59:3,63.3,151.6,1.378916,1.345026
2015-8-27 11:59:5,63.3,151.5,1.390386,1.345026
2015-8-27 11:59:7,63.3,151.5,1.413326,1.333533
2015-8-27 11:59:8,63.3,151.5,1.390386,1.310547
2015-8-27 11:59:10,63.3,151.6,1.367446,1.310547
2015-8-27 11:59:11,63.3,151.6,1.333036,1.32204
2015-8-27 11:59:13,63.3,151.6,1.287157,1.32204
2015-8-27 11:59:15,63.3,151.7,1.287157,1.310547
2015-8-27 11:59:16,63.3,151.7,1.252747,1.310547
2015-8-27 11:59:18,63.4,151.8,1.241277,1.32204
2015-8-27 11:59:19,63.4,151.8,1.183928,1.310547
2015-8-27 11:59:21,63.4,151.8,1.126578,1.287561
2015-8-27 11:59:23,63.4,151.9,1.103639,1.264575
2015-8-27 11:59:24,63.4,152,1.103639,1.230096
2015-8-27 11:59:26,63.4,152,1.080699,1.195617
2015-8-27 11:59:27,63.4,152,1.057759,1.184124
2015-8-27 11:59:29,63.4,152.2,1.01188,1.161138
2015-8-27 11:59:31,63.4,152.2,0.97747,1.126659
2015-8-27 11:59:32,63.4,152.2,0.966,1.080687
2015-8-27 11:59:34,63.4,152.2,0.839831,1.069194
2015-8-27 11:59:35,63.4,152.3,0.0598795,1.057701
2015-8-27 11:59:37,63.4,152.3,0.300747,1.034715
2015-8-27 11:59:39,63.4,152.3,0.0942892,1.011729
2015-8-27 11:59:40,63.4,152.3,0.759542,0.988742
2015-8-27 11:59:42,63.4,152.3,0.897181,0.264682
2015-8-27 11:59:43,63.4,152.3,0.966,0.471556
2015-8-27 11:59:45,63.4,152.3,0.95453,0.540514
2015-8-27 11:59:47,63.4,152.2,0.966,0.000342
2015-8-27 11:59:48,63.4,152.2,0.908651,0.000342
2015-8-27 11:59:50,63.5,152.2,0.851301,0.000342
2015-8-27 11:59:51,63.5,152.1,0.95453,0.000342
2015-8-27 11:59:53,63.4,152.1,0.966,0.000342
2015-8-27 11:59:55,63.4,152,0.98894,0.000342
2015-8-27 11:59:56,63.4,152,1.01188,0.000342
2015-8-27 11:59:58,63.4,151.9,1.046289,0.000342
2015-8-27 11:59:59,63.4,151.9,1.103639,0.000342
2015-8-27 12:0:1,63.4,151.8,1.103639,0.000342
