time,PARO,S por vuelta de ex
2015-21-7-11:43:28,TRUE,T#29s
2015-21-7-11:43:30,TRUE,T#29s
2015-21-7-11:43:31,TRUE,T#29s
2015-21-7-11:43:33,TRUE,T#29s
2015-21-7-11:43:34,TRUE,T#29s
2015-21-7-11:43:35,TRUE,T#29s
2015-21-7-11:43:37,TRUE,T#29s
2015-21-7-11:43:38,TRUE,T#29s
2015-21-7-11:43:40,TRUE,T#29s
2015-21-7-11:43:41,TRUE,T#29s
2015-21-7-11:43:42,TRUE,T#30s
2015-21-7-11:43:44,TRUE,T#30s
2015-21-7-11:43:45,TRUE,T#30s
2015-21-7-11:43:47,TRUE,T#30s
2015-21-7-11:43:48,TRUE,T#30s
2015-21-7-11:43:49,TRUE,T#30s
2015-21-7-11:43:51,TRUE,T#30s
2015-21-7-11:43:52,TRUE,T#30s
2015-21-7-11:43:54,TRUE,T#30s
2015-21-7-11:43:55,TRUE,T#30s
2015-21-7-11:43:56,TRUE,T#30s
2015-21-7-11:43:58,TRUE,T#30s
2015-21-7-11:43:59,TRUE,T#30s
2015-21-7-11:44:1,TRUE,T#30s
2015-21-7-11:44:2,TRUE,T#30s
2015-21-7-11:44:3,TRUE,T#30s
2015-21-7-11:44:5,TRUE,T#30s
2015-21-7-11:44:6,TRUE,T#30s
2015-21-7-11:44:8,TRUE,T#30s
2015-21-7-11:44:9,TRUE,T#30s
2015-21-7-11:44:10,TRUE,T#30s
2015-21-7-11:44:12,TRUE,T#30s
2015-21-7-11:44:13,TRUE,T#30s
2015-21-7-11:44:15,TRUE,T#30s
2015-21-7-11:44:16,TRUE,T#30s
2015-21-7-11:44:17,TRUE,T#30s
2015-21-7-11:44:19,TRUE,T#30s
2015-21-7-11:44:20,TRUE,T#30s
2015-21-7-11:44:22,TRUE,T#30s
2015-21-7-11:44:23,TRUE,T#30s
2015-21-7-11:44:24,TRUE,T#30s
2015-21-7-11:44:26,TRUE,T#30s
2015-21-7-11:44:27,TRUE,T#30s
2015-21-7-11:44:29,TRUE,T#30s
2015-21-7-11:44:30,TRUE,T#30s
2015-21-7-11:44:31,TRUE,T#30s
2015-21-7-11:44:33,TRUE,T#30s
2015-21-7-11:44:34,TRUE,T#30s
2015-21-7-11:44:36,TRUE,T#30s
2015-21-7-11:44:37,TRUE,T#30s
2015-21-7-11:44:38,TRUE,T#30s
2015-21-7-11:44:40,TRUE,T#30s
2015-21-7-11:44:41,TRUE,T#30s
2015-21-7-11:44:43,TRUE,T#30s
2015-21-7-11:44:44,TRUE,T#30s
2015-21-7-11:44:45,TRUE,T#30s
2015-21-7-11:44:47,TRUE,T#30s
2015-21-7-11:44:48,TRUE,T#30s
2015-21-7-11:44:50,TRUE,T#30s
2015-21-7-11:44:51,TRUE,T#30s
2015-21-7-11:44:52,TRUE,T#30s
2015-21-7-11:44:54,TRUE,T#30s
2015-21-7-11:44:55,TRUE,T#30s
2015-21-7-11:44:57,TRUE,T#30s
2015-21-7-11:44:58,TRUE,T#30s
2015-21-7-11:44:59,TRUE,T#30s
2015-21-7-11:45:1,TRUE,T#30s
2015-21-7-11:45:2,TRUE,T#30s
2015-21-7-11:45:4,TRUE,T#30s
2015-21-7-11:45:5,TRUE,T#30s
2015-21-7-11:45:6,TRUE,T#30s
2015-21-7-11:45:8,TRUE,T#30s
2015-21-7-11:45:9,TRUE,T#30s
2015-21-7-11:45:11,TRUE,T#30s
2015-21-7-11:45:12,TRUE,T#29s
2015-21-7-11:45:13,TRUE,T#29s
2015-21-7-11:45:15,TRUE,T#29s
2015-21-7-11:45:16,TRUE,T#29s
2015-21-7-11:45:18,TRUE,T#29s
2015-21-7-11:45:19,TRUE,T#29s
2015-21-7-11:45:20,TRUE,T#29s
2015-21-7-11:45:22,TRUE,T#29s
2015-21-7-11:45:23,TRUE,T#29s
2015-21-7-11:45:25,TRUE,T#29s
2015-21-7-11:45:26,TRUE,T#29s
2015-21-7-11:45:27,TRUE,T#29s
2015-21-7-11:45:29,TRUE,T#29s
2015-21-7-11:45:30,TRUE,T#29s
2015-21-7-11:45:32,TRUE,T#29s
2015-21-7-11:45:33,TRUE,T#29s
2015-21-7-11:45:34,TRUE,T#29s
2015-21-7-11:45:36,TRUE,T#29s
2015-21-7-11:45:37,TRUE,T#29s
2015-21-7-11:45:39,TRUE,T#29s
2015-21-7-11:45:40,FALSE,T#29s
2015-21-7-11:45:41,FALSE,T#30s
2015-21-7-11:45:43,FALSE,T#30s
2015-21-7-11:45:44,FALSE,T#30s
2015-21-7-11:45:46,FALSE,T#30s
2015-21-7-11:45:47,FALSE,T#30s
2015-21-7-11:45:48,FALSE,T#30s
2015-21-7-11:45:50,FALSE,T#30s
2015-21-7-11:45:51,FALSE,T#30s
2015-21-7-11:45:53,FALSE,T#30s
2015-21-7-11:45:54,FALSE,T#30s
2015-21-7-11:45:55,FALSE,T#30s
2015-21-7-11:45:57,FALSE,T#30s
2015-21-7-11:45:58,FALSE,T#30s
2015-21-7-11:46:0,FALSE,T#30s
2015-21-7-11:46:1,FALSE,T#30s
2015-21-7-11:46:2,FALSE,T#30s
2015-21-7-11:46:4,FALSE,T#30s
2015-21-7-11:46:5,FALSE,T#30s
2015-21-7-11:46:7,FALSE,T#30s
2015-21-7-11:46:8,FALSE,T#30s
2015-21-7-11:46:9,FALSE,T#30s
2015-21-7-11:46:11,FALSE,T#30s
2015-21-7-11:46:12,FALSE,T#30s1ms
2015-21-7-11:46:14,FALSE,T#30s1ms
2015-21-7-11:46:15,FALSE,T#30s1ms
2015-21-7-11:46:16,FALSE,T#30s1ms
2015-21-7-11:46:18,FALSE,T#30s1ms
2015-21-7-11:46:19,FALSE,T#30s1ms
2015-21-7-11:46:21,FALSE,T#30s1ms
2015-21-7-11:46:22,FALSE,T#30s1ms
2015-21-7-11:46:23,FALSE,T#30s1ms
2015-21-7-11:46:25,FALSE,T#30s1ms
2015-21-7-11:46:26,FALSE,T#30s1ms
2015-21-7-11:46:28,FALSE,T#30s1ms
2015-21-7-11:46:29,FALSE,T#30s1ms
2015-21-7-11:46:30,FALSE,T#30s1ms
2015-21-7-11:46:32,FALSE,T#30s1ms
2015-21-7-11:46:33,FALSE,T#30s1ms
2015-21-7-11:46:35,FALSE,T#30s1ms
2015-21-7-11:46:36,FALSE,T#30s1ms
2015-21-7-11:46:37,FALSE,T#30s1ms
2015-21-7-11:46:39,FALSE,T#30s1ms
2015-21-7-11:46:40,FALSE,T#30s1ms
2015-21-7-11:46:42,FALSE,T#30s
2015-21-7-11:46:43,FALSE,T#30s
2015-21-7-11:46:44,FALSE,T#30s
2015-21-7-11:46:46,FALSE,T#30s
2015-21-7-11:46:47,FALSE,T#30s
2015-21-7-11:46:49,FALSE,T#30s
2015-21-7-11:46:50,FALSE,T#30s
2015-21-7-11:46:51,FALSE,T#30s
2015-21-7-11:46:53,FALSE,T#30s
2015-21-7-11:46:54,FALSE,T#30s
2015-21-7-11:46:56,FALSE,T#30s
2015-21-7-11:46:57,FALSE,T#30s
2015-21-7-11:46:58,FALSE,T#30s
2015-21-7-11:47:0,FALSE,T#30s
2015-21-7-11:47:1,FALSE,T#30s
2015-21-7-11:47:3,FALSE,T#30s
2015-21-7-11:47:4,FALSE,T#30s
2015-21-7-11:47:5,FALSE,T#30s
2015-21-7-11:47:7,FALSE,T#30s
2015-21-7-11:47:8,FALSE,T#30s
2015-21-7-11:47:10,FALSE,T#30s
2015-21-7-11:47:11,FALSE,T#30s
2015-21-7-11:47:12,FALSE,T#30s
2015-21-7-11:47:14,FALSE,T#30s
2015-21-7-11:47:15,FALSE,T#30s
2015-21-7-11:47:17,FALSE,T#30s
2015-21-7-11:47:18,FALSE,T#30s
2015-21-7-11:47:19,FALSE,T#30s
2015-21-7-11:47:21,FALSE,T#30s
2015-21-7-11:47:22,FALSE,T#30s
2015-21-7-11:47:24,FALSE,T#30s
2015-21-7-11:47:25,FALSE,T#30s
2015-21-7-11:47:26,FALSE,T#30s
2015-21-7-11:47:28,FALSE,T#30s
2015-21-7-11:47:29,FALSE,T#30s
2015-21-7-11:47:31,FALSE,T#30s
2015-21-7-11:47:32,FALSE,T#30s
2015-21-7-11:47:33,FALSE,T#30s
2015-21-7-11:47:35,FALSE,T#30s
2015-21-7-11:47:36,FALSE,T#30s
