time,Tmp Husillo,Tmp Nozzle,Diametro X,Diametro Y,MEDIA,MARCHA,PARO,VELOCIDAD,,
2015-14-7-9:52:43,60.5,135.2,2.044169,1.862213,1.953191,TRUE,TRUE,5,,
2015-14-7-9:52:45,60.5,135.2,2.009759,1.96565,1.9877045,TRUE,TRUE,5,,
2015-14-7-9:52:46,60.5,135.2,1.94094,2.057594,1.999267,TRUE,TRUE,5,,
2015-14-7-9:52:48,60.5,135.2,1.826241,2.000129,1.913185,TRUE,TRUE,5,,
2015-14-7-9:52:49,60.5,135.1,1.814771,1.96565,1.8902105,TRUE,TRUE,5,,
2015-14-7-9:52:50,60.5,135.1,1.757422,1.862213,1.8098175,TRUE,TRUE,5,,
2015-14-7-9:52:52,60.6,135,1.745952,1.793254,1.769603,TRUE,TRUE,5,,
2015-14-7-9:52:53,60.6,135,1.757422,1.770268,1.763845,TRUE,TRUE,5,,
2015-14-7-9:52:55,60.6,134.9,1.745952,1.781762,1.763857,TRUE,TRUE,5,,
2015-14-7-9:52:56,60.6,134.9,1.780362,1.735789,1.7580755,TRUE,TRUE,5,,
2015-14-7-9:52:57,60.6,134.9,1.723012,1.735789,1.7294005,TRUE,TRUE,5,,
2015-14-7-9:52:59,60.7,134.8,1.573904,1.712803,1.6433535,TRUE,TRUE,5,,
2015-14-7-9:53:0,60.7,134.7,1.447735,1.666831,1.557283,TRUE,TRUE,5,,
2015-14-7-9:53:2,60.7,134.7,1.367446,1.58638,1.476913,TRUE,TRUE,5,,
2015-14-7-9:53:3,60.7,134.7,1.287157,1.47145,1.3793035,TRUE,TRUE,5,,
2015-14-7-9:53:4,60.8,134.6,1.287157,1.333533,1.310345,TRUE,TRUE,5,,
2015-14-7-9:53:6,60.8,134.5,1.344506,1.287561,1.3160335,TRUE,TRUE,5,,
2015-14-7-9:53:7,60.8,134.5,1.562434,1.310547,1.4364905,TRUE,TRUE,5,,
2015-14-7-9:53:9,60.8,134.5,1.619783,1.345026,1.4824045,TRUE,TRUE,5,,
2015-14-7-9:53:10,60.8,134.6,1.344506,1.448464,1.396485,TRUE,TRUE,5,,
2015-14-7-9:53:11,60.8,134.6,1.241277,1.563394,1.4023355,TRUE,TRUE,5,,
2015-14-7-9:53:13,60.8,134.6,1.310097,1.345026,1.3275615,TRUE,TRUE,5,,
2015-14-7-9:53:14,60.8,134.5,1.390386,1.253082,1.321734,TRUE,TRUE,5,,
2015-14-7-9:53:16,60.8,134.5,1.355976,1.287561,1.3217685,TRUE,TRUE,5,,
2015-14-7-9:53:17,60.8,134.5,1.355976,1.379506,1.367741,TRUE,TRUE,5,,
2015-14-7-9:53:18,60.8,134.4,1.436265,1.345026,1.3906455,TRUE,TRUE,5,,
2015-14-7-9:53:20,60.8,134.5,1.550964,1.32204,1.436502,TRUE,TRUE,5,,
2015-14-7-9:53:21,60.7,134.4,1.596844,1.390998,1.493921,TRUE,TRUE,5,,
2015-14-7-9:53:23,60.7,134.4,1.608313,1.528915,1.568614,TRUE,TRUE,5,,
2015-14-7-9:53:24,60.7,134.5,1.539494,1.574887,1.5571905,TRUE,TRUE,5,,
2015-14-7-9:53:25,60.8,134.5,1.493615,1.58638,1.5399975,TRUE,TRUE,0.75,,
2015-14-7-9:53:27,60.8,134.5,1.482145,1.563394,1.5227695,TRUE,TRUE,0.75,,
2015-14-7-9:53:28,60.8,134.5,1.482145,1.528915,1.50553,TRUE,TRUE,0.75,,
2015-14-7-9:53:30,60.8,134.5,1.505085,1.482943,1.494014,TRUE,TRUE,0.75,,
2015-14-7-9:53:31,60.8,134.5,1.505085,1.459957,1.482521,TRUE,TRUE,0.75,,
2015-14-7-9:53:32,60.8,134.6,1.516554,1.459957,1.4882555,TRUE,TRUE,0.75,,
2015-14-7-9:53:34,60.8,134.7,1.539494,1.459957,1.4997255,TRUE,TRUE,0.75,,
2015-14-7-9:53:35,60.8,134.7,1.539494,1.482943,1.5112185,TRUE,TRUE,0.75,,
2015-14-7-9:53:37,60.8,134.7,1.528024,1.494436,1.51123,TRUE,TRUE,0.75,,
2015-14-7-9:53:38,60.8,134.5,1.505085,1.482943,1.494014,TRUE,TRUE,0.75,,
2015-14-7-9:53:39,60.8,134.5,1.459205,1.517422,1.4883135,TRUE,TRUE,0.75,,
2015-14-7-9:53:41,60.8,134.5,1.401856,1.528915,1.4653855,TRUE,TRUE,0.75,,
2015-14-7-9:53:42,60.8,134.6,1.378916,1.517422,1.448169,TRUE,TRUE,0.75,,
2015-14-7-9:53:44,60.8,134.6,1.367446,1.505929,1.4366875,TRUE,TRUE,0.75,,
2015-14-7-9:53:45,60.8,134.7,1.436265,1.47145,1.4538575,TRUE,TRUE,0.75,,
2015-14-7-9:53:47,60.8,134.7,1.470675,1.413985,1.44233,TRUE,TRUE,0.75,,
2015-14-7-9:53:48,60.8,134.7,1.470675,1.390998,1.4308365,TRUE,TRUE,0.75,,
2015-14-7-9:53:49,60.8,134.7,1.482145,1.390998,1.4365715,TRUE,TRUE,0.75,,
2015-14-7-9:53:51,60.8,134.7,1.505085,1.47145,1.4882675,TRUE,TRUE,0.75,,
2015-14-7-9:53:52,60.7,134.9,1.505085,1.505929,1.505507,TRUE,TRUE,0.75,,
2015-14-7-9:53:54,60.7,135.1,1.539494,1.517422,1.528458,TRUE,TRUE,0.75,,
2015-14-7-9:53:55,60.7,135.3,1.539494,1.482943,1.5112185,TRUE,TRUE,0.75,,
2015-14-7-9:53:56,60.7,135.6,1.562434,1.505929,1.5341815,TRUE,TRUE,0.75,,
2015-14-7-9:53:58,60.7,135.8,1.596844,1.517422,1.557133,TRUE,TRUE,0.75,,
2015-14-7-9:53:59,60.7,136,1.539494,1.563394,1.551444,TRUE,TRUE,0.75,,
2015-14-7-9:54:1,60.7,136,1.516554,1.551901,1.5342275,TRUE,TRUE,0.75,,
2015-14-7-9:54:2,60.8,136.2,1.516554,1.597873,1.5572135,TRUE,TRUE,0.75,,
2015-14-7-9:54:3,60.8,136.2,1.516554,1.620859,1.5687065,TRUE,TRUE,0.75,,
2015-14-7-9:54:5,60.8,136.3,1.528024,1.597873,1.5629485,TRUE,TRUE,0.75,,
2015-14-7-9:54:6,60.8,136.4,1.528024,1.58638,1.557202,TRUE,TRUE,0.75,,
2015-14-7-9:54:8,60.9,136.4,1.505085,1.574887,1.539986,TRUE,TRUE,0.75,,
2015-14-7-9:54:9,60.9,136.4,1.505085,1.563394,1.5342395,TRUE,TRUE,0.75,,
2015-14-7-9:54:10,61,136.2,1.562434,1.551901,1.5571675,TRUE,TRUE,0.75,,
2015-14-7-9:54:12,61,136.2,1.528024,1.563394,1.545709,TRUE,TRUE,0.75,,
2015-14-7-9:54:13,60.9,136.2,1.516554,1.528915,1.5227345,TRUE,TRUE,0.75,,
2015-14-7-9:54:15,60.9,136.2,1.482145,1.540408,1.5112765,TRUE,TRUE,0.75,,
2015-14-7-9:54:16,60.9,136.3,1.505085,1.58638,1.5457325,TRUE,TRUE,0.75,,
2015-14-7-9:54:17,61,136.2,1.505085,1.574887,1.539986,TRUE,TRUE,0.75,,
2015-14-7-9:54:19,61,136.2,1.493615,1.551901,1.522758,TRUE,TRUE,0.75,,
2015-14-7-9:54:20,61,136.4,1.482145,1.528915,1.50553,TRUE,TRUE,0.75,,
2015-14-7-9:54:22,61,136.5,1.493615,1.517422,1.5055185,TRUE,TRUE,0.75,,
2015-14-7-9:54:23,60.9,136.6,1.470675,1.517422,1.4940485,TRUE,TRUE,0.75,,
2015-14-7-9:54:24,60.9,136.8,1.459205,1.528915,1.49406,TRUE,TRUE,0.75,,
2015-14-7-9:54:26,60.9,136.8,1.436265,1.540408,1.4883365,TRUE,TRUE,0.75,,
2015-14-7-9:54:27,60.9,136.9,1.447735,1.528915,1.488325,TRUE,TRUE,0.75,,
2015-14-7-9:54:29,60.9,136.9,1.459205,1.528915,1.49406,TRUE,TRUE,0.75,,
2015-14-7-9:54:30,60.8,137,1.482145,1.494436,1.4882905,TRUE,TRUE,0.75,,
2015-14-7-9:54:31,60.8,137,1.482145,1.459957,1.471051,TRUE,TRUE,0.75,,
2015-14-7-9:54:33,60.8,137,1.459205,1.459957,1.459581,TRUE,TRUE,0.75,,
2015-14-7-9:54:34,60.8,136.9,1.470675,1.459957,1.465316,TRUE,TRUE,0.75,,
2015-14-7-9:54:36,60.8,136.9,1.505085,1.448464,1.4767745,TRUE,TRUE,0.75,,
2015-14-7-9:54:37,60.8,136.8,1.528024,1.482943,1.5054835,TRUE,TRUE,0.75,,
2015-14-7-9:54:38,60.8,136.7,1.516554,1.482943,1.4997485,TRUE,TRUE,0.75,,
2015-14-7-9:54:40,60.9,136.7,1.528024,1.482943,1.5054835,TRUE,TRUE,0.75,,
2015-14-7-9:54:41,60.9,136.6,1.539494,1.482943,1.5112185,TRUE,TRUE,0.75,,
2015-14-7-9:54:43,60.9,136.6,1.505085,1.528915,1.517,TRUE,TRUE,0.75,,
2015-14-7-9:54:44,60.9,136.6,1.493615,1.517422,1.5055185,TRUE,TRUE,0.75,,
2015-14-7-9:54:45,61,136.6,1.470675,1.505929,1.488302,TRUE,TRUE,0.75,,
2015-14-7-9:54:47,61,136.7,1.470675,1.540408,1.5055415,TRUE,TRUE,0.75,,
2015-14-7-9:54:48,61,136.7,1.424795,1.540408,1.4826015,TRUE,TRUE,0.75,,
2015-14-7-9:54:50,61,136.7,1.413326,1.517422,1.465374,TRUE,TRUE,0.75,,
2015-14-7-9:54:51,61,136.7,1.447735,1.505929,1.476832,TRUE,TRUE,0.75,,
2015-14-7-9:54:52,61,136.8,1.528024,1.482943,1.5054835,TRUE,TRUE,0.75,,
2015-14-7-9:54:54,61.1,136.8,1.677133,1.459957,1.568545,TRUE,TRUE,0.75,,
2015-14-7-9:54:55,61.1,136.9,1.814771,1.425478,1.6201245,TRUE,TRUE,0.75,,
2015-14-7-9:54:57,61.1,136.9,1.895061,1.47145,1.6832555,TRUE,TRUE,0.75,,
2015-14-7-9:54:58,61.1,136.7,1.96388,1.540408,1.752144,TRUE,TRUE,0.75,,
2015-14-7-9:54:59,61.1,136.7,2.009759,1.70131,1.8555345,TRUE,TRUE,0.75,,
2015-14-7-9:55:1,61.2,136.7,1.98682,1.816241,1.9015305,TRUE,TRUE,0.75,,
2015-14-7-9:55:2,61.2,136.6,1.94094,1.919678,1.930309,TRUE,TRUE,0.75,,
2015-14-7-9:55:4,61.2,136.6,1.918,1.954157,1.9360785,TRUE,TRUE,0.75,,
2015-14-7-9:55:5,61.2,136.5,1.918,2.011622,1.964811,TRUE,TRUE,0.75,,
2015-14-7-9:55:6,61.1,136.5,1.92947,1.988636,1.959053,TRUE,TRUE,0.75,,
2015-14-7-9:55:8,61.1,136.5,1.94094,1.954157,1.9475485,TRUE,TRUE,0.75,,
2015-14-7-9:55:9,61.1,136.5,1.92947,1.931171,1.9303205,TRUE,TRUE,0.75,,
2015-14-7-9:55:11,61.1,136.4,1.90653,1.931171,1.9188505,TRUE,TRUE,0.75,,
