time,Tmp Husillo,Tmp Nozzle,Diametro X,Diametro Y,MEDIA,MARCHA,PARO,VELOCIDAD
2015-14-7 10:0:40,61.2,135.3,1.390386,1.413985,1.4021855,TRUE,TRUE,5
2015-14-7 10:0:41,61.2,135.3,1.367446,1.413985,1.3907155,TRUE,TRUE,5
2015-14-7 10:0:42,61.2,135.3,1.344506,1.402492,1.373499,TRUE,TRUE,5
2015-14-7 10:0:44,61.2,135.2,1.298627,1.379506,1.3390665,TRUE,TRUE,5
2015-14-7 10:0:45,61.2,135.2,1.275687,1.345026,1.3103565,TRUE,TRUE,5
2015-14-7 10:0:47,61.2,135.2,1.287157,1.299054,1.2931055,TRUE,TRUE,5
2015-14-7 10:0:48,61.2,135,1.287157,1.287561,1.287359,TRUE,TRUE,5
2015-14-7 10:0:50,61.2,135,1.321566,1.253082,1.287324,TRUE,TRUE,5
2015-14-7 10:0:51,61.2,134.9,1.287157,1.253082,1.2701195,TRUE,TRUE,5
2015-14-7 10:0:52,61.2,134.9,1.264217,1.32204,1.2931285,TRUE,TRUE,5
2015-14-7 10:0:54,61.2,134.9,1.298627,1.287561,1.293094,TRUE,TRUE,5
2015-14-7 10:0:55,61.2,134.8,1.287157,1.253082,1.2701195,TRUE,TRUE,5
2015-14-7 10:0:57,61.3,134.8,1.218338,1.276068,1.247203,TRUE,TRUE,5
2015-14-7 10:0:58,61.3,134.9,1.183928,1.287561,1.2357445,TRUE,TRUE,5
2015-14-7 10:0:59,61.3,134.9,1.195398,1.172631,1.1840145,TRUE,TRUE,5
2015-14-7 10:1:1,61.3,134.9,1.264217,1.126659,1.195438,TRUE,TRUE,5
2015-14-7 10:1:2,61.2,135,1.264217,1.149645,1.206931,TRUE,TRUE,5
2015-14-7 10:1:4,61.2,135,1.287157,1.218603,1.25288,TRUE,TRUE,5
2015-14-7 10:1:5,61.2,135.1,1.298627,1.241589,1.270108,TRUE,TRUE,5
2015-14-7 10:1:6,61.2,135.1,1.264217,1.299054,1.2816355,TRUE,TRUE,5
2015-14-7 10:1:8,61.2,135.2,1.229807,1.276068,1.2529375,TRUE,TRUE,5
2015-14-7 10:1:9,61.3,135.3,1.229807,1.253082,1.2414445,TRUE,TRUE,5
2015-14-7 10:1:11,61.3,135.3,1.218338,1.241589,1.2299635,TRUE,TRUE,5
2015-14-7 10:1:12,61.3,135.3,1.218338,1.218603,1.2184705,TRUE,TRUE,5
2015-14-7 10:1:13,61.3,135.4,1.195398,1.218603,1.2070005,TRUE,TRUE,5
2015-14-7 10:1:15,61.3,135.4,1.195398,1.218603,1.2070005,TRUE,TRUE,5
2015-14-7 10:1:16,61.3,135.5,1.138048,1.195617,1.1668325,TRUE,TRUE,5
2015-14-7 10:1:18,61.4,135.5,1.138048,1.20711,1.172579,TRUE,TRUE,5
2015-14-7 10:1:19,61.4,135.5,1.080699,1.149645,1.115172,TRUE,TRUE,5
2015-14-7 10:1:20,61.4,135.5,1.092169,1.115166,1.1036675,TRUE,TRUE,5
2015-14-7 10:1:22,61.3,135.5,1.138048,1.103673,1.1208605,TRUE,TRUE,5
2015-14-7 10:1:23,61.3,135.5,1.183928,1.103673,1.1438005,TRUE,TRUE,5
2015-14-7 10:1:25,61.3,135.5,1.195398,1.126659,1.1610285,TRUE,TRUE,5
