time,Tmp Husillo,Tmp Nozzle,Diametro X,Diametro Y,MARCHA,PARO,VELOCIDAD
2015-20-7-11:7:22,61.3,140.2,1.87,1.43,TRUE,FALSE,0.5
2015-20-7-11:7:23,61.3,140.3,1.81,1.80,TRUE,FALSE,0.5
2015-20-7-11:7:25,61.3,140.3,1.73,2.02,TRUE,FALSE,0.5
2015-20-7-11:7:26,61.3,140.4,1.64,2.00,TRUE,FALSE,0.5
2015-20-7-11:7:27,61.2,140.5,1.53,1.93,TRUE,FALSE,0.5
2015-20-7-11:7:29,61.2,140.6,1.54,1.84,TRUE,FALSE,0.5
2015-20-7-11:7:30,61.2,140.6,1.54,1.75,TRUE,FALSE,0.5
2015-20-7-11:7:32,61.2,140.7,1.56,1.68,TRUE,FALSE,0.5
2015-20-7-11:7:33,61.2,140.7,1.40,1.66,TRUE,FALSE,0.5
2015-20-7-11:7:34,61.2,140.7,1.38,1.68,TRUE,FALSE,0.5
2015-20-7-11:7:36,61.2,140.8,1.32,1.55,TRUE,FALSE,0.5
2015-20-7-11:7:37,61.2,140.9,1.42,1.49,TRUE,FALSE,0.5
2015-20-7-11:7:39,61.2,141,2.16,1.33,TRUE,FALSE,0.5
2015-20-7-11:7:40,61.2,141,1.76,1.30,TRUE,FALSE,0.5
2015-20-7-11:7:41,61.2,141.2,1.38,1.23,TRUE,FALSE,0.5
2015-20-7-11:7:43,61.2,141.2,2.53,1.36,TRUE,FALSE,0.5
2015-20-7-11:7:44,61.2,141.2,2.51,1.22,TRUE,FALSE,0.5
2015-20-7-11:7:46,61.2,141.1,2.51,1.18,TRUE,FALSE,0.5
2015-20-7-11:7:47,61.2,141.2,2.56,1.16,TRUE,FALSE,0.5
