time,Tmp Husillo [C],Tmp Nozzle [C],Diametro X [mm],Diametro Y [mm],MARCHA,PARO,RPM
2015-20-7-10:7:58,24,24.1,1.72,1.76,TRUE,FALSE,3.219
2015-20-7-10:7:59,24,24.1,1.73,1.76,TRUE,FALSE,3.219
2015-20-7-10:8:1,24,24.1,1.73,1.76,TRUE,FALSE,3.219
2015-20-7-10:8:2,24,24.1,1.73,1.76,TRUE,FALSE,3.219
2015-20-7-10:8:3,24,24.1,1.73,1.76,TRUE,FALSE,3.219
2015-20-7-10:8:5,24,24.1,1.73,1.77,TRUE,FALSE,3.219
2015-20-7-10:8:6,24,24.1,1.73,1.76,TRUE,FALSE,3.219
2015-20-7-10:8:8,24,24.1,1.73,1.76,TRUE,FALSE,3.219
2015-20-7-10:8:9,24,24.1,1.73,1.77,TRUE,FALSE,3.219
2015-20-7-10:8:10,24,24.1,1.73,1.78,TRUE,FALSE,3.219
2015-20-7-10:8:12,24,24.1,1.77,1.74,TRUE,FALSE,3.219
2015-20-7-10:8:13,24,24.1,1.78,1.71,TRUE,FALSE,3.219
2015-20-7-10:8:15,24,24.1,1.78,1.72,TRUE,FALSE,3.219
2015-20-7-10:8:16,24,24.1,1.77,1.72,TRUE,FALSE,3.219
2015-20-7-10:8:17,24,24.1,1.78,1.72,TRUE,FALSE,3.219
2015-20-7-10:8:19,24,24.1,1.77,1.72,TRUE,FALSE,3.219
2015-20-7-10:8:20,24,24.1,1.78,1.72,TRUE,FALSE,3.219
2015-20-7-10:8:22,24,24.1,1.78,1.72,TRUE,FALSE,3.219
2015-20-7-10:8:23,24,24.1,1.78,1.72,TRUE,FALSE,3.219
2015-20-7-10:8:24,24,24.1,1.77,1.72,TRUE,FALSE,3.219
2015-20-7-10:8:26,24,24.1,1.78,1.72,TRUE,FALSE,3.219
2015-20-7-10:8:27,24,24.1,1.77,1.72,TRUE,FALSE,3.219
2015-20-7-10:8:29,24,24.1,1.77,1.71,TRUE,FALSE,3.219
2015-20-7-10:8:30,24,24.1,1.77,1.71,TRUE,FALSE,3.219
2015-20-7-10:8:31,24,24.1,1.77,1.72,TRUE,FALSE,3.219
2015-20-7-10:8:33,24,24.1,1.78,1.71,TRUE,FALSE,3.219
2015-20-7-10:8:34,24,24.1,1.78,1.74,TRUE,FALSE,3.219
2015-20-7-10:8:36,24,24.1,1.78,1.72,TRUE,FALSE,3.219
2015-20-7-10:8:37,24,24.2,1.78,1.71,TRUE,FALSE,3.219
2015-20-7-10:8:38,24,24.2,1.77,1.72,TRUE,FALSE,3.219
2015-20-7-10:8:40,24,24.1,1.78,1.71,TRUE,FALSE,3.219
2015-20-7-10:8:41,24,24.2,1.77,1.72,TRUE,FALSE,3.219
2015-20-7-10:8:43,24,24.2,1.78,1.72,TRUE,FALSE,3.219
2015-20-7-10:8:44,24,24.2,1.78,1.72,TRUE,FALSE,3.219
2015-20-7-10:8:45,24,24.2,1.77,1.72,TRUE,FALSE,3.219
2015-20-7-10:8:47,24,24.2,1.78,1.72,TRUE,FALSE,3.219
2015-20-7-10:8:48,24,24.2,1.77,1.74,TRUE,FALSE,3.219
2015-20-7-10:8:50,24,24.2,1.78,1.74,TRUE,FALSE,3.219
2015-20-7-10:8:51,24,24.2,1.78,1.74,TRUE,FALSE,3.219
2015-20-7-10:8:52,24,24.2,1.77,1.72,TRUE,FALSE,3.219
2015-20-7-10:8:54,24,24.2,1.77,1.74,TRUE,FALSE,3.219
2015-20-7-10:8:55,24,24.2,1.78,1.72,TRUE,FALSE,3.219
2015-20-7-10:8:57,24,24.2,1.77,1.72,TRUE,FALSE,3.219
2015-20-7-10:8:58,24,24.2,1.77,1.74,TRUE,FALSE,3.219
2015-20-7-10:8:59,24,24.2,1.77,1.74,TRUE,FALSE,3.219
2015-20-7-10:9:1,24,24.1,1.77,1.74,TRUE,FALSE,3.219
2015-20-7-10:9:2,24,24.2,1.77,1.74,TRUE,FALSE,3.219
2015-20-7-10:9:4,24,24.1,1.77,1.75,TRUE,FALSE,3.219
2015-20-7-10:9:5,24,24.1,1.77,1.74,TRUE,FALSE,3.219
2015-20-7-10:9:6,24,24.1,1.77,1.74,TRUE,FALSE,3.219
2015-20-7-10:9:8,24,24.1,1.77,1.75,TRUE,FALSE,3.219
2015-20-7-10:9:9,24,24.1,1.76,1.75,TRUE,FALSE,3.219
2015-20-7-10:9:11,24,24.1,1.76,1.74,TRUE,FALSE,3.219
2015-20-7-10:9:12,24,24.1,1.77,1.75,TRUE,FALSE,3.219
2015-20-7-10:9:13,24,24.1,1.77,1.74,TRUE,FALSE,3.219
2015-20-7-10:9:15,24,24.1,1.76,1.74,TRUE,FALSE,3.219
2015-20-7-10:9:16,24,24.1,1.76,1.74,TRUE,FALSE,3.219
2015-20-7-10:9:18,24,24.1,1.76,1.74,TRUE,FALSE,3.219
2015-20-7-10:9:19,24,24.1,1.77,1.72,TRUE,FALSE,3.219
2015-20-7-10:9:20,24,24.1,1.76,1.74,TRUE,FALSE,3.219
2015-20-7-10:9:22,24,24.1,1.77,1.75,TRUE,FALSE,3.219
2015-20-7-10:9:23,24,24.1,1.75,1.75,TRUE,FALSE,3.219
2015-20-7-10:9:25,24,24.1,1.75,1.75,TRUE,FALSE,3.219
2015-20-7-10:9:26,24,24.1,1.76,1.75,TRUE,FALSE,3.219
2015-20-7-10:9:27,24,24.1,1.77,1.74,TRUE,FALSE,3.219
2015-20-7-10:9:29,24,24.1,1.76,1.74,TRUE,FALSE,3.219
2015-20-7-10:9:30,24,24.1,1.76,1.75,TRUE,FALSE,3.219
2015-20-7-10:9:32,24,24.1,1.77,1.75,TRUE,FALSE,3.219
2015-20-7-10:9:33,24,24.1,1.77,1.74,TRUE,FALSE,3.219
2015-20-7-10:9:34,24,24.1,1.77,1.75,TRUE,FALSE,3.219
2015-20-7-10:9:36,24,24.1,1.76,1.74,TRUE,FALSE,3.219
2015-20-7-10:9:37,24,24.1,1.77,1.75,TRUE,FALSE,3.219
2015-20-7-10:9:39,24,24.1,1.77,1.75,TRUE,FALSE,3.219
2015-20-7-10:9:40,24,24.1,1.77,1.74,TRUE,FALSE,3.219
2015-20-7-10:9:41,24,24.1,1.76,1.75,TRUE,FALSE,3.219
2015-20-7-10:9:43,24,24.1,1.76,1.75,TRUE,FALSE,3.219
2015-20-7-10:9:44,24,24.1,1.77,1.76,TRUE,FALSE,3.219
2015-20-7-10:9:46,24,24.1,1.77,1.75,TRUE,FALSE,3.219
2015-20-7-10:9:47,24,24.1,1.76,1.76,TRUE,FALSE,3.219
2015-20-7-10:9:48,24,24.1,1.75,1.76,TRUE,FALSE,3.219
2015-20-7-10:9:50,24,24.1,1.75,1.76,TRUE,FALSE,3.219
2015-20-7-10:9:51,24,24.1,1.75,1.76,TRUE,FALSE,3.219
2015-20-7-10:9:53,24,24.1,1.75,1.76,TRUE,FALSE,3.219
2015-20-7-10:9:54,24,24.1,1.75,1.75,TRUE,FALSE,3.219
2015-20-7-10:9:55,24,24.1,1.75,1.76,TRUE,FALSE,3.219
2015-20-7-10:9:57,24,24.1,1.67,1.76,TRUE,FALSE,3.219
2015-20-7-10:9:58,24,24.1,1.76,1.75,TRUE,FALSE,3.219
2015-20-7-10:10:0,24,24.1,1.76,1.75,TRUE,FALSE,3.219
2015-20-7-10:10:1,24,24.1,1.76,1.75,TRUE,FALSE,3.219
2015-20-7-10:10:2,24,24.1,1.75,1.75,TRUE,FALSE,3.219
2015-20-7-10:10:4,24,24.1,1.76,1.76,TRUE,FALSE,3.219
2015-20-7-10:10:5,24,24.1,1.76,1.76,TRUE,FALSE,3.219
2015-20-7-10:10:7,24,24.1,1.76,1.76,TRUE,FALSE,3.219
